case_id,repo_id,source_library,target_library,disposition,reason
12932@cf-speedtest__78d9ee1d__requests__aiohttp,12932@cf-speedtest__78d9ee1d,requests,aiohttp,retained_full_594,Included in the published full_594 evaluation set.
12932@cf-speedtest__78d9ee1d__requests__httpx,12932@cf-speedtest__78d9ee1d,requests,httpx,retained_full_594,Included in the published full_594 evaluation set.
12932@cf-speedtest__78d9ee1d__requests__pycurl,12932@cf-speedtest__78d9ee1d,requests,pycurl,retained_full_594,Included in the published full_594 evaluation set.
12932@cf-speedtest__78d9ee1d__requests__requests_futures,12932@cf-speedtest__78d9ee1d,requests,requests_futures,retained_full_594,Included in the published full_594 evaluation set.
12932@cf-speedtest__78d9ee1d__requests__treq,12932@cf-speedtest__78d9ee1d,requests,treq,retained_full_594,Included in the published full_594 evaluation set.
12932@cf-speedtest__78d9ee1d__requests__urllib3,12932@cf-speedtest__78d9ee1d,requests,urllib3,retained_full_594,Included in the published full_594 evaluation set.
abinthomasonline@repopack-py__dc2b9243__chardet__cchardet,abinthomasonline@repopack-py__dc2b9243,chardet,cchardet,retained_full_594,Included in the published full_594 evaluation set.
abinthomasonline@repopack-py__dc2b9243__chardet__charset-normalizer,abinthomasonline@repopack-py__dc2b9243,chardet,charset-normalizer,retained_full_594,Included in the published full_594 evaluation set.
abinthomasonline@repopack-py__dc2b9243__colorama__rich,abinthomasonline@repopack-py__dc2b9243,colorama,rich,retained_full_594,Included in the published full_594 evaluation set.
abinthomasonline@repopack-py__dc2b9243__colorama__termcolor,abinthomasonline@repopack-py__dc2b9243,colorama,termcolor,retained_full_594,Included in the published full_594 evaluation set.
aeroflorian@msteamsadaptivecard__417a13db__requests__aiohttp,aeroflorian@msteamsadaptivecard__417a13db,requests,aiohttp,retained_full_594,Included in the published full_594 evaluation set.
aeroflorian@msteamsadaptivecard__417a13db__requests__httpx,aeroflorian@msteamsadaptivecard__417a13db,requests,httpx,retained_full_594,Included in the published full_594 evaluation set.
aeroflorian@msteamsadaptivecard__417a13db__requests__pycurl,aeroflorian@msteamsadaptivecard__417a13db,requests,pycurl,retained_full_594,Included in the published full_594 evaluation set.
aeroflorian@msteamsadaptivecard__417a13db__requests__requests_futures,aeroflorian@msteamsadaptivecard__417a13db,requests,requests_futures,retained_full_594,Included in the published full_594 evaluation set.
aeroflorian@msteamsadaptivecard__417a13db__requests__treq,aeroflorian@msteamsadaptivecard__417a13db,requests,treq,retained_full_594,Included in the published full_594 evaluation set.
aeroflorian@msteamsadaptivecard__417a13db__requests__urllib3,aeroflorian@msteamsadaptivecard__417a13db,requests,urllib3,retained_full_594,Included in the published full_594 evaluation set.
affjljoo3581@gpt2__7b159669__tqdm__alive-progress,affjljoo3581@gpt2__7b159669,tqdm,alive-progress,retained_full_594,Included in the published full_594 evaluation set.
affjljoo3581@gpt2__7b159669__tqdm__progressbar2,affjljoo3581@gpt2__7b159669,tqdm,progressbar2,retained_full_594,Included in the published full_594 evaluation set.
aio-libs@aiosmtpd__3615f5ef__attrs__cattrs,aio-libs@aiosmtpd__3615f5ef,attrs,cattrs,baseline_reproducibility,Pytest collection did not produce usable counts because current dependency/tooling behavior turned a conftest import path into an import failure.
alanhamlett@pip-update-requirements__e407b929__click__plac,alanhamlett@pip-update-requirements__e407b929,click,plac,baseline_reproducibility,"The project depends on old pip internals that are no longer available in the reproduced environment, so tests fail during collection."
alanhamlett@pip-update-requirements__e407b929__click__typer,alanhamlett@pip-update-requirements__e407b929,click,typer,baseline_reproducibility,"The project depends on old pip internals that are no longer available in the reproduced environment, so tests fail during collection."
alexferl@vyper__a0a6ea7f__toml__tomli,alexferl@vyper__a0a6ea7f,toml,tomli,retained_full_594,Included in the published full_594 evaluation set.
alexferl@vyper__a0a6ea7f__toml__tomlkit,alexferl@vyper__a0a6ea7f,toml,tomlkit,retained_full_594,Included in the published full_594 evaluation set.
alpden550@encrypt-decrypt-fields__a0029320__cryptography__pycryptodome,alpden550@encrypt-decrypt-fields__a0029320,cryptography,pycryptodome,retained_full_594,Included in the published full_594 evaluation set.
alpden550@encrypt-decrypt-fields__a0029320__sqlalchemy__sqlobject,alpden550@encrypt-decrypt-fields__a0029320,sqlalchemy,sqlobject,retained_full_594,Included in the published full_594 evaluation set.
alpden550@encrypt-decrypt-fields__a0029320__sqlalchemy__tortoise-orm,alpden550@encrypt-decrypt-fields__a0029320,sqlalchemy,tortoise-orm,retained_full_594,Included in the published full_594 evaluation set.
andreax79@python-securid__ca333b8c__cryptography__pycryptodome,andreax79@python-securid__ca333b8c,cryptography,pycryptodome,retained_full_594,Included in the published full_594 evaluation set.
andreroggeri@pynubank__3a35d906__colorama__rich,andreroggeri@pynubank__3a35d906,colorama,rich,retained_full_594,Included in the published full_594 evaluation set.
andreroggeri@pynubank__3a35d906__colorama__termcolor,andreroggeri@pynubank__3a35d906,colorama,termcolor,retained_full_594,Included in the published full_594 evaluation set.
andreroggeri@pynubank__3a35d906__requests__aiohttp,andreroggeri@pynubank__3a35d906,requests,aiohttp,retained_full_594,Included in the published full_594 evaluation set.
andreroggeri@pynubank__3a35d906__requests__httpx,andreroggeri@pynubank__3a35d906,requests,httpx,retained_full_594,Included in the published full_594 evaluation set.
andreroggeri@pynubank__3a35d906__requests__pycurl,andreroggeri@pynubank__3a35d906,requests,pycurl,retained_full_594,Included in the published full_594 evaluation set.
andreroggeri@pynubank__3a35d906__requests__requests_futures,andreroggeri@pynubank__3a35d906,requests,requests_futures,retained_full_594,Included in the published full_594 evaluation set.
andreroggeri@pynubank__3a35d906__requests__treq,andreroggeri@pynubank__3a35d906,requests,treq,retained_full_594,Included in the published full_594 evaluation set.
andreroggeri@pynubank__3a35d906__requests__urllib3,andreroggeri@pynubank__3a35d906,requests,urllib3,retained_full_594,Included in the published full_594 evaluation set.
ankane@mapkick.py__7d625d80__flask__bottle,ankane@mapkick.py__7d625d80,flask,bottle,retained_full_594,Included in the published full_594 evaluation set.
ankane@mapkick.py__7d625d80__flask__cherrypy,ankane@mapkick.py__7d625d80,flask,cherrypy,retained_full_594,Included in the published full_594 evaluation set.
ankane@mapkick.py__7d625d80__flask__fastapi,ankane@mapkick.py__7d625d80,flask,fastapi,retained_full_594,Included in the published full_594 evaluation set.
ankane@mapkick.py__7d625d80__flask__sanic,ankane@mapkick.py__7d625d80,flask,sanic,retained_full_594,Included in the published full_594 evaluation set.
ankane@mapkick.py__7d625d80__flask__tornado,ankane@mapkick.py__7d625d80,flask,tornado,retained_full_594,Included in the published full_594 evaluation set.
apple@app-store-server-library-python__1202058d__cryptography__pycryptodome,apple@app-store-server-library-python__1202058d,cryptography,pycryptodome,test_selection_applicability,Recorded as excluded by the applicable-test/test-selection filter; the archived case table does not specify a more detailed per-case cause.
apple@app-store-server-library-python__1202058d__httpx__aiohttp,apple@app-store-server-library-python__1202058d,httpx,aiohttp,retained_full_594,Included in the published full_594 evaluation set.
apple@app-store-server-library-python__1202058d__httpx__requests,apple@app-store-server-library-python__1202058d,httpx,requests,retained_full_594,Included in the published full_594 evaluation set.
apple@app-store-server-library-python__1202058d__httpx__urllib3,apple@app-store-server-library-python__1202058d,httpx,urllib3,retained_full_594,Included in the published full_594 evaluation set.
apple@app-store-server-library-python__1202058d__requests__aiohttp,apple@app-store-server-library-python__1202058d,requests,aiohttp,retained_full_594,Included in the published full_594 evaluation set.
