case_id,repo_id,source_library,target_library,exclusion_reason,evidence
bormando@selenium-tools__52667925__urllib3__aiohttp,bormando@selenium-tools__52667925,urllib3,aiohttp,dependency_metadata_only_no_editable_production_source_api_usage,Only occurrence is requirements.txt:21 `urllib3==2.2.1`; no Python source import or API usage.
bormando@selenium-tools__52667925__urllib3__httpx,bormando@selenium-tools__52667925,urllib3,httpx,dependency_metadata_only_no_editable_production_source_api_usage,Only occurrence is requirements.txt:21 `urllib3==2.2.1`; no Python source import or API usage.
bormando@selenium-tools__52667925__urllib3__requests,bormando@selenium-tools__52667925,urllib3,requests,dependency_metadata_only_no_editable_production_source_api_usage,Only occurrence is requirements.txt:21 `urllib3==2.2.1`; no Python source import or API usage.
ozgurkara@fastapi-pydiator__7d70a90a__httpx__aiohttp,ozgurkara@fastapi-pydiator__7d70a90a,httpx,aiohttp,dependency_metadata_only_no_editable_production_source_api_usage,Only occurrence is requirements.txt:14 `httpx==0.26.0`; no Python source import or API usage.
ozgurkara@fastapi-pydiator__7d70a90a__httpx__requests,ozgurkara@fastapi-pydiator__7d70a90a,httpx,requests,dependency_metadata_only_no_editable_production_source_api_usage,Only occurrence is requirements.txt:14 `httpx==0.26.0`; no Python source import or API usage.
ozgurkara@fastapi-pydiator__7d70a90a__httpx__urllib3,ozgurkara@fastapi-pydiator__7d70a90a,httpx,urllib3,dependency_metadata_only_no_editable_production_source_api_usage,Only occurrence is requirements.txt:14 `httpx==0.26.0`; no Python source import or API usage.
rjvitorino@gists-catalogue__86eed6de__urllib3__aiohttp,rjvitorino@gists-catalogue__86eed6de,urllib3,aiohttp,dependency_metadata_only_no_editable_production_source_api_usage,Only occurrence is requirements.txt:62 `urllib3==2.2.2`; no Python source import or API usage.
rjvitorino@gists-catalogue__86eed6de__urllib3__httpx,rjvitorino@gists-catalogue__86eed6de,urllib3,httpx,dependency_metadata_only_no_editable_production_source_api_usage,Only occurrence is requirements.txt:62 `urllib3==2.2.2`; no Python source import or API usage.
rjvitorino@gists-catalogue__86eed6de__urllib3__requests,rjvitorino@gists-catalogue__86eed6de,urllib3,requests,dependency_metadata_only_no_editable_production_source_api_usage,Only occurrence is requirements.txt:62 `urllib3==2.2.2`; no Python source import or API usage.
stephenhillier@starlette_exporter__05b9e18c__httpx__aiohttp,stephenhillier@starlette_exporter__05b9e18c,httpx,aiohttp,dependency_metadata_only_no_editable_production_source_api_usage,Only occurrence is requirements.txt:6 `httpx==0.23.3`; no Python source import or API usage.
stephenhillier@starlette_exporter__05b9e18c__httpx__requests,stephenhillier@starlette_exporter__05b9e18c,httpx,requests,dependency_metadata_only_no_editable_production_source_api_usage,Only occurrence is requirements.txt:6 `httpx==0.23.3`; no Python source import or API usage.
stephenhillier@starlette_exporter__05b9e18c__httpx__urllib3,stephenhillier@starlette_exporter__05b9e18c,httpx,urllib3,dependency_metadata_only_no_editable_production_source_api_usage,Only occurrence is requirements.txt:6 `httpx==0.23.3`; no Python source import or API usage.
