left_label,left_run,right_label,right_run,both_count,universe_count,both_pct
Agentic-RepoFlow full,full_594/agentic_repoflow_opencode_gpt54mini_606,Agentic-RepoFlow full,full_594/agentic_repoflow_opencode_gpt54mini_606,375,594,63.13131313131313
Agentic-RepoFlow full,full_594/agentic_repoflow_opencode_gpt54mini_606,Agentic-RepoFlow first cycle,full_594/agentic_repoflow_initial_candidate_opencode_gpt54mini_606,238,594,40.06734006734007
Agentic-RepoFlow full,full_594/agentic_repoflow_opencode_gpt54mini_606,LLM-GT / PyMigBench,full_594/llm_gt_pymigbench_gpt54mini,139,594,23.4006734006734
Agentic-RepoFlow full,full_594/agentic_repoflow_opencode_gpt54mini_606,migratelib,full_594/migratelib_gpt54mini,134,594,22.55892255892256
Agentic-RepoFlow full,full_594/agentic_repoflow_opencode_gpt54mini_606,Codex plain prompt,full_594/codex_gpt54mini_plain_prompt,109,594,18.35016835016835
Agentic-RepoFlow first cycle,full_594/agentic_repoflow_initial_candidate_opencode_gpt54mini_606,Agentic-RepoFlow full,full_594/agentic_repoflow_opencode_gpt54mini_606,238,594,40.06734006734007
Agentic-RepoFlow first cycle,full_594/agentic_repoflow_initial_candidate_opencode_gpt54mini_606,Agentic-RepoFlow first cycle,full_594/agentic_repoflow_initial_candidate_opencode_gpt54mini_606,239,594,40.235690235690235
Agentic-RepoFlow first cycle,full_594/agentic_repoflow_initial_candidate_opencode_gpt54mini_606,LLM-GT / PyMigBench,full_594/llm_gt_pymigbench_gpt54mini,134,594,22.55892255892256
Agentic-RepoFlow first cycle,full_594/agentic_repoflow_initial_candidate_opencode_gpt54mini_606,migratelib,full_594/migratelib_gpt54mini,128,594,21.54882154882155
Agentic-RepoFlow first cycle,full_594/agentic_repoflow_initial_candidate_opencode_gpt54mini_606,Codex plain prompt,full_594/codex_gpt54mini_plain_prompt,82,594,13.804713804713804
LLM-GT / PyMigBench,full_594/llm_gt_pymigbench_gpt54mini,Agentic-RepoFlow full,full_594/agentic_repoflow_opencode_gpt54mini_606,139,594,23.4006734006734
LLM-GT / PyMigBench,full_594/llm_gt_pymigbench_gpt54mini,Agentic-RepoFlow first cycle,full_594/agentic_repoflow_initial_candidate_opencode_gpt54mini_606,134,594,22.55892255892256
LLM-GT / PyMigBench,full_594/llm_gt_pymigbench_gpt54mini,LLM-GT / PyMigBench,full_594/llm_gt_pymigbench_gpt54mini,163,594,27.44107744107744
LLM-GT / PyMigBench,full_594/llm_gt_pymigbench_gpt54mini,migratelib,full_594/migratelib_gpt54mini,126,594,21.21212121212121
LLM-GT / PyMigBench,full_594/llm_gt_pymigbench_gpt54mini,Codex plain prompt,full_594/codex_gpt54mini_plain_prompt,58,594,9.764309764309765
migratelib,full_594/migratelib_gpt54mini,Agentic-RepoFlow full,full_594/agentic_repoflow_opencode_gpt54mini_606,134,594,22.55892255892256
migratelib,full_594/migratelib_gpt54mini,Agentic-RepoFlow first cycle,full_594/agentic_repoflow_initial_candidate_opencode_gpt54mini_606,128,594,21.54882154882155
migratelib,full_594/migratelib_gpt54mini,LLM-GT / PyMigBench,full_594/llm_gt_pymigbench_gpt54mini,126,594,21.21212121212121
migratelib,full_594/migratelib_gpt54mini,migratelib,full_594/migratelib_gpt54mini,173,594,29.124579124579125
migratelib,full_594/migratelib_gpt54mini,Codex plain prompt,full_594/codex_gpt54mini_plain_prompt,54,594,9.090909090909092
Codex plain prompt,full_594/codex_gpt54mini_plain_prompt,Agentic-RepoFlow full,full_594/agentic_repoflow_opencode_gpt54mini_606,109,594,18.35016835016835
Codex plain prompt,full_594/codex_gpt54mini_plain_prompt,Agentic-RepoFlow first cycle,full_594/agentic_repoflow_initial_candidate_opencode_gpt54mini_606,82,594,13.804713804713804
Codex plain prompt,full_594/codex_gpt54mini_plain_prompt,LLM-GT / PyMigBench,full_594/llm_gt_pymigbench_gpt54mini,58,594,9.764309764309765
Codex plain prompt,full_594/codex_gpt54mini_plain_prompt,migratelib,full_594/migratelib_gpt54mini,54,594,9.090909090909092
Codex plain prompt,full_594/codex_gpt54mini_plain_prompt,Codex plain prompt,full_594/codex_gpt54mini_plain_prompt,120,594,20.2020202020202
