source_library,target_library,method,instances,accepted,not_accepted,success_rate_percent
aiohttp,httpx,RepoFlow,5,4,1,80.00
attrs,cattrs,RepoFlow,5,4,1,80.00
beautifulsoup4,pyquery,RepoFlow,4,2,2,50.00
chardet,cchardet,RepoFlow,1,0,1,0.00
chardet,charset-normalizer,RepoFlow,1,1,0,100.00
click,plac,RepoFlow,9,4,5,44.44
click,typer,RepoFlow,9,4,5,44.44
colorama,rich,RepoFlow,6,5,1,83.33
colorama,termcolor,RepoFlow,6,5,1,83.33
cryptography,pycryptodome,RepoFlow,8,4,4,50.00
fastapi,sanic,RepoFlow,3,0,3,0.00
filelock,portalocker,RepoFlow,1,1,0,100.00
flask,bottle,RepoFlow,2,2,0,100.00
flask,cherrypy,RepoFlow,2,2,0,100.00
flask,fastapi,RepoFlow,2,2,0,100.00
flask,sanic,RepoFlow,2,2,0,100.00
flask,tornado,RepoFlow,2,2,0,100.00
httpx,aiohttp,RepoFlow,4,2,2,50.00
httpx,requests,RepoFlow,4,3,1,75.00
httpx,urllib3,RepoFlow,4,2,2,50.00
importlib-metadata,setuptools,RepoFlow,1,1,0,100.00
jinja2,mako,RepoFlow,7,4,3,57.14
jsonschema,cerberus,RepoFlow,7,4,3,57.14
matplotlib,altair,RepoFlow,16,11,5,68.75
matplotlib,plotly,RepoFlow,16,10,6,62.50
matplotlib,seaborn,RepoFlow,16,13,3,81.25
pygments,rich,RepoFlow,4,2,2,50.00
python-dotenv,dynaconf,RepoFlow,12,11,1,91.67
python-dotenv,environs,RepoFlow,12,10,2,83.33
requests,aiohttp,RepoFlow,57,33,24,57.89
requests,httpx,RepoFlow,56,32,24,57.14
requests,pycurl,RepoFlow,58,35,23,60.34
requests,requests_futures,RepoFlow,57,40,17,70.18
requests,treq,RepoFlow,58,31,27,53.45
requests,urllib3,RepoFlow,58,34,24,58.62
seaborn,altair,RepoFlow,4,1,3,25.00
seaborn,plotly,RepoFlow,5,2,3,40.00
sqlalchemy,sqlobject,RepoFlow,2,1,1,50.00
sqlalchemy,tortoise-orm,RepoFlow,2,1,1,50.00
tabulate,prettytable,RepoFlow,5,3,2,60.00
tabulate,rich,RepoFlow,5,4,1,80.00
toml,tomli,RepoFlow,6,5,1,83.33
toml,tomlkit,RepoFlow,6,5,1,83.33
tqdm,alive-progress,RepoFlow,13,9,4,69.23
tqdm,progressbar2,RepoFlow,13,10,3,76.92
urllib3,aiohttp,RepoFlow,6,4,2,66.67
urllib3,httpx,RepoFlow,6,4,2,66.67
urllib3,requests,RepoFlow,6,4,2,66.67
aiohttp,httpx,MigrateLib,5,2,3,40.00
attrs,cattrs,MigrateLib,5,0,5,0.00
beautifulsoup4,pyquery,MigrateLib,4,0,4,0.00
chardet,cchardet,MigrateLib,1,0,1,0.00
chardet,charset-normalizer,MigrateLib,1,1,0,100.00
click,plac,MigrateLib,9,1,8,11.11
click,typer,MigrateLib,9,3,6,33.33
colorama,rich,MigrateLib,6,3,3,50.00
colorama,termcolor,MigrateLib,6,3,3,50.00
cryptography,pycryptodome,MigrateLib,8,3,5,37.50
fastapi,sanic,MigrateLib,3,0,3,0.00
filelock,portalocker,MigrateLib,1,1,0,100.00
flask,bottle,MigrateLib,2,2,0,100.00
flask,cherrypy,MigrateLib,2,1,1,50.00
flask,fastapi,MigrateLib,2,2,0,100.00
flask,sanic,MigrateLib,2,0,2,0.00
flask,tornado,MigrateLib,2,1,1,50.00
httpx,aiohttp,MigrateLib,4,1,3,25.00
httpx,requests,MigrateLib,4,2,2,50.00
httpx,urllib3,MigrateLib,4,1,3,25.00
importlib-metadata,setuptools,MigrateLib,1,0,1,0.00
jinja2,mako,MigrateLib,7,0,7,0.00
jsonschema,cerberus,MigrateLib,7,1,6,14.29
matplotlib,altair,MigrateLib,16,5,11,31.25
matplotlib,plotly,MigrateLib,16,7,9,43.75
matplotlib,seaborn,MigrateLib,16,1,15,6.25
pygments,rich,MigrateLib,4,0,4,0.00
python-dotenv,dynaconf,MigrateLib,12,9,3,75.00
python-dotenv,environs,MigrateLib,12,7,5,58.33
requests,aiohttp,MigrateLib,57,14,43,24.56
requests,httpx,MigrateLib,56,20,36,35.71
requests,pycurl,MigrateLib,58,9,49,15.52
requests,requests_futures,MigrateLib,57,13,44,22.81
requests,treq,MigrateLib,58,7,51,12.07
requests,urllib3,MigrateLib,58,12,46,20.69
seaborn,altair,MigrateLib,4,3,1,75.00
seaborn,plotly,MigrateLib,5,3,2,60.00
sqlalchemy,sqlobject,MigrateLib,2,1,1,50.00
sqlalchemy,tortoise-orm,MigrateLib,2,1,1,50.00
tabulate,prettytable,MigrateLib,5,1,4,20.00
tabulate,rich,MigrateLib,5,0,5,0.00
toml,tomli,MigrateLib,6,3,3,50.00
toml,tomlkit,MigrateLib,6,3,3,50.00
tqdm,alive-progress,MigrateLib,13,11,2,84.62
tqdm,progressbar2,MigrateLib,13,12,1,92.31
urllib3,aiohttp,MigrateLib,6,0,6,0.00
urllib3,httpx,MigrateLib,6,1,5,16.67
urllib3,requests,MigrateLib,6,2,4,33.33
aiohttp,httpx,LLM-GT,5,2,3,40.00
attrs,cattrs,LLM-GT,5,0,5,0.00
beautifulsoup4,pyquery,LLM-GT,4,0,4,0.00
