index,name,approach,human audit result (Jeff),human audit notes (Jeff),human audit result (Anita),human audit notes (Anita)
001,12932@cf-speedtest__78d9ee1d__requests__aiohttp,"Agentic-RepoFlow full iterative, 5-cycle",,,,
002,12932@cf-speedtest__78d9ee1d__requests__httpx,"Agentic-RepoFlow full iterative, 5-cycle",,,,
003,12932@cf-speedtest__78d9ee1d__requests__pycurl,"Agentic-RepoFlow full iterative, 5-cycle",,,,
004,12932@cf-speedtest__78d9ee1d__requests__requests_futures,"Agentic-RepoFlow full iterative, 5-cycle",,,,
005,12932@cf-speedtest__78d9ee1d__requests__treq,"Agentic-RepoFlow full iterative, 5-cycle",,,,
006,12932@cf-speedtest__78d9ee1d__requests__urllib3,"Agentic-RepoFlow full iterative, 5-cycle",,,,
007,abinthomasonline@repopack-py__dc2b9243__chardet__charset-normalizer,"Agentic-RepoFlow full iterative, 5-cycle",,,,
008,abinthomasonline@repopack-py__dc2b9243__colorama__rich,"Agentic-RepoFlow full iterative, 5-cycle",,,,
009,abinthomasonline@repopack-py__dc2b9243__colorama__termcolor,"Agentic-RepoFlow full iterative, 5-cycle",,,,
010,aeroflorian@msteamsadaptivecard__417a13db__requests__aiohttp,"Agentic-RepoFlow full iterative, 5-cycle",,,,
011,aeroflorian@msteamsadaptivecard__417a13db__requests__httpx,"Agentic-RepoFlow full iterative, 5-cycle",,,,
012,aeroflorian@msteamsadaptivecard__417a13db__requests__pycurl,"Agentic-RepoFlow full iterative, 5-cycle",,,,
013,aeroflorian@msteamsadaptivecard__417a13db__requests__requests_futures,"Agentic-RepoFlow full iterative, 5-cycle",,,,
014,aeroflorian@msteamsadaptivecard__417a13db__requests__treq,"Agentic-RepoFlow full iterative, 5-cycle",,,,
015,aeroflorian@msteamsadaptivecard__417a13db__requests__urllib3,"Agentic-RepoFlow full iterative, 5-cycle",,,,
016,affjljoo3581@gpt2__7b159669__tqdm__alive-progress,"Agentic-RepoFlow full iterative, 5-cycle",,,,
017,affjljoo3581@gpt2__7b159669__tqdm__progressbar2,"Agentic-RepoFlow full iterative, 5-cycle",,,,
018,alexferl@vyper__a0a6ea7f__toml__tomli,"Agentic-RepoFlow full iterative, 5-cycle",,,,
019,alexferl@vyper__a0a6ea7f__toml__tomlkit,"Agentic-RepoFlow full iterative, 5-cycle",,,,
020,alpden550@encrypt-decrypt-fields__a0029320__cryptography__pycryptodome,"Agentic-RepoFlow full iterative, 5-cycle",,,,
021,alpden550@encrypt-decrypt-fields__a0029320__sqlalchemy__sqlobject,"Agentic-RepoFlow full iterative, 5-cycle",,,,
022,alpden550@encrypt-decrypt-fields__a0029320__sqlalchemy__tortoise-orm,"Agentic-RepoFlow full iterative, 5-cycle",,,,
023,andreroggeri@pynubank__3a35d906__colorama__rich,"Agentic-RepoFlow full iterative, 5-cycle",,,,
024,andreroggeri@pynubank__3a35d906__colorama__termcolor,"Agentic-RepoFlow full iterative, 5-cycle",,,,
025,andreroggeri@pynubank__3a35d906__requests__aiohttp,"Agentic-RepoFlow full iterative, 5-cycle",,,,
026,andreroggeri@pynubank__3a35d906__requests__httpx,"Agentic-RepoFlow full iterative, 5-cycle",,,,
027,andreroggeri@pynubank__3a35d906__requests__pycurl,"Agentic-RepoFlow full iterative, 5-cycle",,,,
028,andreroggeri@pynubank__3a35d906__requests__requests_futures,"Agentic-RepoFlow full iterative, 5-cycle",,,,
029,andreroggeri@pynubank__3a35d906__requests__treq,"Agentic-RepoFlow full iterative, 5-cycle",,,,
030,andreroggeri@pynubank__3a35d906__requests__urllib3,"Agentic-RepoFlow full iterative, 5-cycle",,,,
031,ankane@mapkick.py__7d625d80__flask__bottle,"Agentic-RepoFlow full iterative, 5-cycle",,,,
032,ankane@mapkick.py__7d625d80__flask__cherrypy,"Agentic-RepoFlow full iterative, 5-cycle",,,,
033,ankane@mapkick.py__7d625d80__flask__fastapi,"Agentic-RepoFlow full iterative, 5-cycle",,,,
034,ankane@mapkick.py__7d625d80__flask__sanic,"Agentic-RepoFlow full iterative, 5-cycle",,,,
035,ankane@mapkick.py__7d625d80__flask__tornado,"Agentic-RepoFlow full iterative, 5-cycle",,,,
036,apple@app-store-server-library-python__1202058d__httpx__aiohttp,"Agentic-RepoFlow full iterative, 5-cycle",,,,
037,apple@app-store-server-library-python__1202058d__httpx__requests,"Agentic-RepoFlow full iterative, 5-cycle",,,,
038,apple@app-store-server-library-python__1202058d__httpx__urllib3,"Agentic-RepoFlow full iterative, 5-cycle",,,,
039,apple@app-store-server-library-python__1202058d__requests__aiohttp,"Agentic-RepoFlow full iterative, 5-cycle",,,,
040,apple@app-store-server-library-python__1202058d__requests__httpx,"Agentic-RepoFlow full iterative, 5-cycle",,,,
041,apple@app-store-server-library-python__1202058d__requests__pycurl,"Agentic-RepoFlow full iterative, 5-cycle",,,,
042,apple@app-store-server-library-python__1202058d__requests__requests_futures,"Agentic-RepoFlow full iterative, 5-cycle",,,,
043,apple@app-store-server-library-python__1202058d__requests__treq,"Agentic-RepoFlow full iterative, 5-cycle",,,,
044,apple@app-store-server-library-python__1202058d__requests__urllib3,"Agentic-RepoFlow full iterative, 5-cycle",,,,
045,astelmach01@tinylang__7ea9f90f__python-dotenv__dynaconf,"Agentic-RepoFlow full iterative, 5-cycle",,,,
046,astelmach01@tinylang__7ea9f90f__python-dotenv__environs,"Agentic-RepoFlow full iterative, 5-cycle",,,,
047,authomize@connectors-rest-api-client__3fa115d3__requests__aiohttp,"Agentic-RepoFlow full iterative, 5-cycle",,,,
048,authomize@connectors-rest-api-client__3fa115d3__requests__httpx,"Agentic-RepoFlow full iterative, 5-cycle",,,,
049,authomize@connectors-rest-api-client__3fa115d3__requests__pycurl,"Agentic-RepoFlow full iterative, 5-cycle",,,,
050,authomize@connectors-rest-api-client__3fa115d3__requests__requests_futures,"Agentic-RepoFlow full iterative, 5-cycle",,,,
051,authomize@connectors-rest-api-client__3fa115d3__requests__treq,"Agentic-RepoFlow full iterative, 5-cycle",,,,
052,authomize@connectors-rest-api-client__3fa115d3__requests__urllib3,"Agentic-RepoFlow full iterative, 5-cycle",,,,
053,azure@azure-functions-durable-python__efa63213__aiohttp__httpx,"Agentic-RepoFlow full iterative, 5-cycle",,,,
054,bamboo-cms@bamboo__a5140922__click__plac,"Agentic-RepoFlow full iterative, 5-cycle",,,,
055,bamboo-cms@bamboo__a5140922__click__typer,"Agentic-RepoFlow full iterative, 5-cycle",,,,
056,bayesiains@nflows__5d223444__matplotlib__altair,"Agentic-RepoFlow full iterative, 5-cycle",,,,
057,bayesiains@nflows__5d223444__matplotlib__plotly,"Agentic-RepoFlow full iterative, 5-cycle",,,,
058,bayesiains@nflows__5d223444__matplotlib__seaborn,"Agentic-RepoFlow full iterative, 5-cycle",,,,
059,bellshade@openseries__59b7a6d7__colorama__rich,"Agentic-RepoFlow full iterative, 5-cycle",,,,
060,bellshade@openseries__59b7a6d7__colorama__termcolor,"Agentic-RepoFlow full iterative, 5-cycle",,,,
061,bheinzerling@bpemb__a75008c1__requests__aiohttp,"Agentic-RepoFlow full iterative, 5-cycle",,,,
062,bheinzerling@bpemb__a75008c1__requests__httpx,"Agentic-RepoFlow full iterative, 5-cycle",,,,
063,bheinzerling@bpemb__a75008c1__requests__pycurl,"Agentic-RepoFlow full iterative, 5-cycle",,,,
064,bheinzerling@bpemb__a75008c1__requests__requests_futures,"Agentic-RepoFlow full iterative, 5-cycle",,,,
065,bheinzerling@bpemb__a75008c1__requests__urllib3,"Agentic-RepoFlow full iterative, 5-cycle",,,,
066,bheinzerling@bpemb__a75008c1__tqdm__alive-progress,"Agentic-RepoFlow full iterative, 5-cycle",,,,
067,bheinzerling@bpemb__a75008c1__tqdm__progressbar2,"Agentic-RepoFlow full iterative, 5-cycle",,,,
068,bigcommerce@bigcommerce-api-python__599b27e6__requests__aiohttp,"Agentic-RepoFlow full iterative, 5-cycle",,,,
069,bigcommerce@bigcommerce-api-python__599b27e6__requests__httpx,"Agentic-RepoFlow full iterative, 5-cycle",,,,
070,bigcommerce@bigcommerce-api-python__599b27e6__requests__pycurl,"Agentic-RepoFlow full iterative, 5-cycle",,,,
071,bigcommerce@bigcommerce-api-python__599b27e6__requests__requests_futures,"Agentic-RepoFlow full iterative, 5-cycle",,,,
072,bigcommerce@bigcommerce-api-python__599b27e6__requests__treq,"Agentic-RepoFlow full iterative, 5-cycle",,,,
073,bigcommerce@bigcommerce-api-python__599b27e6__requests__urllib3,"Agentic-RepoFlow full iterative, 5-cycle",,,,
074,blingenf@copydetect__ba072818__jinja2__mako,"Agentic-RepoFlow full iterative, 5-cycle",,,,
075,blingenf@copydetect__ba072818__pygments__rich,"Agentic-RepoFlow full iterative, 5-cycle",,,,
076,blingenf@copydetect__ba072818__tqdm__alive-progress,"Agentic-RepoFlow full iterative, 5-cycle",,,,
077,blingenf@copydetect__ba072818__tqdm__progressbar2,"Agentic-RepoFlow full iterative, 5-cycle",,,,
078,blockchain-technology-lab@consensus-decentralization__f6dbfbbf__matplotlib__altair,"Agentic-RepoFlow full iterative, 5-cycle",,,,
079,blockchain-technology-lab@consensus-decentralization__f6dbfbbf__matplotlib__plotly,"Agentic-RepoFlow full iterative, 5-cycle",,,,
080,blockchain-technology-lab@consensus-decentralization__f6dbfbbf__matplotlib__seaborn,"Agentic-RepoFlow full iterative, 5-cycle",,,,
081,blockchain-technology-lab@consensus-decentralization__f6dbfbbf__seaborn__plotly,"Agentic-RepoFlow full iterative, 5-cycle",,,,
082,blueprints-org@blueprints__b3bb6987__matplotlib__seaborn,"Agentic-RepoFlow full iterative, 5-cycle",,,,
083,capitalone@edgetest__dfc8b73c__click__plac,"Agentic-RepoFlow full iterative, 5-cycle",,,,
084,capitalone@edgetest__dfc8b73c__click__typer,"Agentic-RepoFlow full iterative, 5-cycle",,,,
085,carbonblack@carbon-black-cloud-sdk-python__0a3b0cfb__jsonschema__cerberus,"Agentic-RepoFlow full iterative, 5-cycle",,,,
086,chrispappalardo@eparse__6f799d21__click__plac,"Agentic-RepoFlow full iterative, 5-cycle",,,,
087,cordada@lib-cl-sii-python__d750fe31__jsonschema__cerberus,"Agentic-RepoFlow full iterative, 5-cycle",,,,
088,cronitorio@cronitor-python__cdbae557__requests__pycurl,"Agentic-RepoFlow full iterative, 5-cycle",,,,
089,cronitorio@cronitor-python__cdbae557__requests__urllib3,"Agentic-RepoFlow full iterative, 5-cycle",,,,
090,cskorpion@vmprof-firefox-converter__e1f6bb79__flask__bottle,"Agentic-RepoFlow full iterative, 5-cycle",,,,
091,cskorpion@vmprof-firefox-converter__e1f6bb79__flask__cherrypy,"Agentic-RepoFlow full iterative, 5-cycle",,,,
092,cskorpion@vmprof-firefox-converter__e1f6bb79__flask__fastapi,"Agentic-RepoFlow full iterative, 5-cycle",,,,
093,cskorpion@vmprof-firefox-converter__e1f6bb79__flask__sanic,"Agentic-RepoFlow full iterative, 5-cycle",,,,
094,cskorpion@vmprof-firefox-converter__e1f6bb79__flask__tornado,"Agentic-RepoFlow full iterative, 5-cycle",,,,
095,d-rickyy-b@pastepwn__cde6e968__requests__aiohttp,"Agentic-RepoFlow full iterative, 5-cycle",,,,
096,d-rickyy-b@pastepwn__cde6e968__requests__httpx,"Agentic-RepoFlow full iterative, 5-cycle",,,,
097,d-rickyy-b@pastepwn__cde6e968__requests__pycurl,"Agentic-RepoFlow full iterative, 5-cycle",,,,
098,d-rickyy-b@pastepwn__cde6e968__requests__requests_futures,"Agentic-RepoFlow full iterative, 5-cycle",,,,
099,d-rickyy-b@pastepwn__cde6e968__requests__treq,"Agentic-RepoFlow full iterative, 5-cycle",,,,
100,d-rickyy-b@pastepwn__cde6e968__requests__urllib3,"Agentic-RepoFlow full iterative, 5-cycle",,,,
101,danajomar@pyale__d6afae67__matplotlib__altair,"Agentic-RepoFlow full iterative, 5-cycle",,,,
102,danajomar@pyale__d6afae67__matplotlib__seaborn,"Agentic-RepoFlow full iterative, 5-cycle",,,,
103,datamade@census__dd8b5b5e__requests__aiohttp,"Agentic-RepoFlow full iterative, 5-cycle",,,,
104,datamade@census__dd8b5b5e__requests__httpx,"Agentic-RepoFlow full iterative, 5-cycle",,,,
105,datamade@census__dd8b5b5e__requests__pycurl,"Agentic-RepoFlow full iterative, 5-cycle",,,,
106,datamade@census__dd8b5b5e__requests__requests_futures,"Agentic-RepoFlow full iterative, 5-cycle",,,,
107,datamade@census__dd8b5b5e__requests__treq,"Agentic-RepoFlow full iterative, 5-cycle",,,,
108,datamade@census__dd8b5b5e__requests__urllib3,"Agentic-RepoFlow full iterative, 5-cycle",,,,
109,david96182@ninjemail__2a52a8cc__toml__tomli,"Agentic-RepoFlow full iterative, 5-cycle",,,,
110,david96182@ninjemail__2a52a8cc__toml__tomlkit,"Agentic-RepoFlow full iterative, 5-cycle",,,,
111,devexp-db@distgen__9512f356__jinja2__mako,"Agentic-RepoFlow full iterative, 5-cycle",,,,
112,dwave-examples@3d-bin-packing__abb0ebd3__tabulate__rich,"Agentic-RepoFlow full iterative, 5-cycle",,,,
113,electronic-mango@simple-justwatch-python-api__5524c491__httpx__requests,"Agentic-RepoFlow full iterative, 5-cycle",,,,
114,eschava@psmqtt__c137c460__jinja2__mako,"Agentic-RepoFlow full iterative, 5-cycle",,,,
115,evanp@ap__90969daf__tabulate__prettytable,"Agentic-RepoFlow full iterative, 5-cycle",,,,
116,evanp@ap__90969daf__tabulate__rich,"Agentic-RepoFlow full iterative, 5-cycle",,,,
117,eyeseast@python-frontmatter__025a94c2__toml__tomli,"Agentic-RepoFlow full iterative, 5-cycle",,,,
118,eyeseast@python-frontmatter__025a94c2__toml__tomlkit,"Agentic-RepoFlow full iterative, 5-cycle",,,,
119,filestack@filestack-python__0e44e337__requests__requests_futures,"Agentic-RepoFlow full iterative, 5-cycle",,,,
120,france-travail@words_n_fun__3bf4b159__tqdm__progressbar2,"Agentic-RepoFlow full iterative, 5-cycle",,,,
121,ful1e5@clickgen__ce70d07a__attrs__cattrs,"Agentic-RepoFlow full iterative, 5-cycle",,,,
122,ful1e5@clickgen__ce70d07a__toml__tomli,"Agentic-RepoFlow full iterative, 5-cycle",,,,
123,ful1e5@clickgen__ce70d07a__toml__tomlkit,"Agentic-RepoFlow full iterative, 5-cycle",,,,
124,funilrys@pyfunceble__a2756c4f__python-dotenv__dynaconf,"Agentic-RepoFlow full iterative, 5-cycle",,,,
